name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Oli Thompson,17,10,185.42,109.77,190.5,Orthodox,44,1.66,0.46,5.31,0.46,0,0,0.5,0.5
Matt Hamill,12,8,185.42,92.99,193.04,Orthodox,48,3.69,0.42,3.8,0.61,3,0.34,0.91,0
Ian Entwistle,9,3,165.1,61.23,None,Orthodox,37,0.11,0.07,7.36,0.31,0,0,0,12.1
Terry Martin,23,11,172.72,83.91,180.34,Orthodox,44,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0
Ikuhisa Minowa,60,42,175.26,82.1,None,Orthodox,48,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9
Allan Goes,10,5,182.88,92.99,None,Orthodox,53,0.64,0.52,1.35,0.41,1.75,0.4,0,2.6
Ange Loosa,10,4,177.8,77.11,187.96,Orthodox,31,5.6,0.44,6.68,0.53,2.41,0.38,0.83,0.2
Randa Markos,11,12,162.56,52.16,160.02,Orthodox,39,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2
Takashi Sato,16,7,177.8,77.11,185.42,Southpaw,34,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0
Marlon Vera,23,10,172.72,61.23,177.8,Switch,31,4.27,0.49,5.37,0.5,0.51,0.39,0.72,0.8
Paul Daley,39,15,175.26,77.11,193.04,Orthodox,41,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0
Mitch Clarke,11,5,177.8,70.31,185.42,Orthodox,38,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4
Marcos Vinicius,23,11,175.26,56.7,None,Orthodox,44,1.93,0.49,2.91,0.47,0,0,0.25,0.5
Miles Johns,15,2,170.18,61.23,167.64,Orthodox,30,3.28,0.47,2.54,0.69,1.02,0.2,0.85,0
Ion Cutelaba,18,10,185.42,92.99,190.5,Southpaw,30,4.29,0.43,3.34,0.46,4.04,0.52,0.75,0
Onassis Parungao,2,1,180.34,90.72,None,,None,0,0,0,0,0,0,0,0
Jacob Kilburn,8,4,175.26,65.77,182.88,Orthodox,29,2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5
Anthony Johnson,22,6,187.96,92.99,198.12,Orthodox,40,3.25,0.47,1.83,0.6,2.43,0.57,0.77,0.6
Diana Belbita,15,9,170.18,52.16,172.72,Orthodox,28,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0
Alan Belcher,18,8,187.96,83.91,190.5,Orthodox,40,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9
Ivan Erslan,14,4,187.96,92.99,182.88,Orthodox,32,2.6,0.56,3,0.62,1,0.5,0.75,0
Jessamyn Duke,3,5,180.34,61.23,185.42,Orthodox,38,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9
CM Punk,0,1,185.42,77.11,185.42,Orthodox,45,1.1,0.23,4.87,0.4,0.87,0.11,0,0
Royston Wee,4,1,170.18,61.23,170.18,Orthodox,37,1.1,0.6,2.45,0.49,3.38,0.81,0,0
Tim Lajcik,7,6,185.42,102.06,None,Orthodox,59,0,0,0,0,0,0,0,0
Leigh Remedios,18,10,170.18,70.31,None,Orthodox,48,0.75,0.41,1.36,0.68,0,0,0.33,0
Rhys McKee,13,6,187.96,77.11,198.12,Orthodox,29,4.8,0.45,7.85,0.42,0,0,0.41,0
Pablo Garza,12,4,185.42,65.77,185.42,Orthodox,41,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3
Keith Jardine,17,11,187.96,83.91,193.04,Orthodox,48,3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7
Cesar Almeida,6,1,185.42,83.91,187.96,Orthodox,36,4.12,0.57,2.18,0.47,0,0,0.57,0.3
Luana Santos,8,2,167.64,56.7,170.18,Orthodox,24,4.28,0.51,4.15,0.61,1.62,0.4,0.8,1.2
Jose Maria,37,7,165.1,56.7,None,Orthodox,42,3.2,0.53,3.98,0.52,2.32,0.27,0.33,2.3
Felipe Colares,10,4,172.72,65.77,175.26,Orthodox,30,2.17,0.45,4.65,0.36,1.88,0.24,0.43,0.5
Jesse Lennox,14,4,175.26,77.11,182.88,Orthodox,42,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3
Antonio Silva,19,12,193.04,119.75,208.28,Orthodox,45,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8
Harry Hunsucker,7,6,187.96,92.99,190.5,Orthodox,35,3.54,0.52,6.53,0.42,0,0,0,2
Teruto Ishihara,10,7,170.18,61.23,175.26,Southpaw,33,3.26,0.44,3.63,0.53,0.5,0.16,0.3,0
Movsar Evloev,18,0,170.18,65.77,182.88,Orthodox,30,4.43,0.48,2.89,0.61,4.75,0.46,0.71,0.2
Ryan Bader,23,5,187.96,92.99,187.96,Orthodox,41,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
Valeri Ignatov,1,2,175.26,77.11,None,Orthodox,None,0,0,0,0,0,0,0,0
Johnny Rhodes,2,1,182.88,95.25,None,Orthodox,None,0,0,0,0,0,0,0,0
Curtis Blaydes,18,5,193.04,120.2,203.2,Orthodox,33,3.54,0.5,1.91,0.58,5.69,0.53,0.31,0
Brianna Fortino,9,3,152.4,52.16,157.48,Southpaw,31,3.53,0.41,3.23,0.57,2.5,0.45,0.66,0
Sam Fulton,0,2,152.4,52.16,None,,None,0,0,0,0,0,0,0,0
Stefan Sekulic,12,4,182.88,77.11,190.5,Southpaw,32,1.83,0.5,2.83,0.64,2,0.33,0.25,0.5
Cameron VanCamp,15,7,187.96,70.31,187.96,Switch,31,5.31,0.47,6.41,0.4,0,0,0,0
Cody Pfister,13,6,177.8,70.31,185.42,Orthodox,34,1.41,0.25,2.8,0.51,2.82,0.3,0,0
Allan Zuniga,13,1,170.18,70.31,177.8,Orthodox,32,3.93,0.52,1.8,0.61,0,0,0.57,1
Derek Brunson,23,9,185.42,83.91,195.58,Southpaw,40,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6
Andreas Michailidis,13,6,182.88,77.11,193.04,Orthodox,36,2.9,0.51,3.57,0.44,1.12,0.27,0.5,0
Carlos Prates,20,6,185.42,77.11,198.12,Switch,31,4.71,0.57,5.02,0.48,0,0,0.8,0
Neil Wain,13,4,177.8,109.77,None,Orthodox,None,2.64,0.5,8.57,0.43,0,0,0.5,0
Brad Katona,16,3,167.64,61.23,162.56,Orthodox,32,4.69,0.51,4.55,0.49,1.71,0.33,0.52,0
Billy Miles,2,2,177.8,77.11,None,Orthodox,46,0,0,1.25,0.33,0,0,0,0
Joseph Gigliotti,7,2,180.34,83.91,None,Orthodox,31,1.04,0.39,2.92,0.45,1.56,1,0.5,0.8
Rodrigo Nascimento,11,2,187.96,111.58,203.2,Orthodox,31,4.05,0.49,4.62,0.43,1.23,0.37,0.76,0.6
Assuerio Silva,16,8,177.8,109.32,None,Orthodox,50,1.42,0.46,4.2,0.54,2.66,0.34,0.25,1.8
Nick Thompson,38,14,185.42,77.11,187.96,Orthodox,43,1.87,0.42,1.8,0.49,1.06,1,0.35,2.6
Dave Herman,22,6,193.04,109.77,195.58,Orthodox,40,4.98,0.6,3.78,0.48,1.49,1,0.58,0
Michinori Tanaka,11,3,165.1,61.23,170.18,Orthodox,34,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2
Ronaldo Rodriguez,17,2,167.64,56.7,165.1,Orthodox,25,2.13,0.44,3.15,0.46,1.13,0.5,0.64,1.1
Casey Kenney,16,4,170.18,61.23,172.72,Southpaw,33,4.85,0.42,4.67,0.58,1.09,0.35,0.61,0.4
Anthony Ivy,8,4,187.96,83.91,187.96,Orthodox,34,2.5,0.42,4.57,0.51,4.69,0.2,1,0
Joseph Holmes,8,4,193.04,83.91,203.2,Orthodox,29,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8
Ronys Torres,35,5,170.18,70.31,None,Orthodox,49,0.87,0.26,1.93,0.57,4,0.47,0.16,0.5
Jordan Radev,23,5,170.18,83.91,None,Southpaw,48,1.35,0.23,2.38,0.66,0,0,0.8,0
Shinsho Anzai,10,3,170.18,77.11,177.8,Orthodox,38,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0
Brendan Loughnane,17,3,177.8,65.77,177.8,Switch,34,6.23,0.63,6.7,0.53,1.5,0.3,0.92,0
Karol Rosa,18,6,165.1,61.23,170.18,Orthodox,29,6.49,0.56,4.91,0.49,1.2,0.46,0.68,0
Tim Sylvia,31,10,203.2,120.2,203.2,Orthodox,48,4.23,0.41,2.61,0.61,0.11,1,0.75,0.1
Paulo Santos,0,3,203.2,120.2,None,,None,0,0,0,0,0,0,0,0
Joe Charles,6,13,185.42,117.93,None,Southpaw,None,0,0,0,0,0,0,0,0
Kyle Bradley,19,12,175.26,70.31,180.34,Orthodox,42,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0
Michael Page,22,3,190.5,77.11,200.66,Switch,37,2.38,0.65,1.45,0.54,0.44,0.25,0.63,0
Iuri Alcantara,35,10,175.26,61.23,180.34,Southpaw,44,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
David Baron,17,4,167.64,70.31,None,Switch,51,1.17,0.3,2.1,0.56,0,0,0.14,0.7
Eddie Alvarez,29,6,175.26,70.31,175.26,Orthodox,40,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
Thomas Gifford,14,9,185.42,70.31,190.5,Orthodox,32,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0
Mason Jones,11,2,177.8,70.31,187.96,Orthodox,29,5.61,0.44,4.94,0.46,3.16,0.45,0.8,0
Jorge Rivera,20,9,185.42,83.91,185.42,Orthodox,52,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1
Ricardo Funch,9,6,177.8,77.11,187.96,Southpaw,44,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0
Maurice Greene,9,7,200.66,117.03,203.2,Orthodox,38,3.28,0.45,3.61,0.45,0,0,0.27,0.4
Ryan Madigan,5,3,182.88,77.11,None,Orthodox,None,0,0,3.35,0.47,0,0,0,0
