name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Magomed Mustafaev,14,4,172.72,70.31,180.34,Orthodox,36,2.59,0.58,2.68,0.41,3.31,0.5,0.23,0.4
Larry Cureton,0,2,187.96,108.86,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Saraiva,22,20,167.64,70.31,None,Orthodox,42,1.64,0.32,3.58,0.62,1.33,0.4,0.0,0.7
Marcelo Aguiar,2,3,177.8,77.11,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ken Shamrock,28,17,185.42,92.99,182.88,Orthodox,61,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5
Carmelo Marrero,16,6,182.88,92.99,185.42,Orthodox,44,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9
Jay Perrin,10,7,170.18,61.23,170.18,Switch,31,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0
David Lee,12,10,177.8,70.31,None,Orthodox,None,1.49,0.5,3.31,0.42,0.0,0.0,0.5,0.0
Chris Padilla,16,6,175.26,70.31,187.96,Orthodox,29,4.13,0.51,3.68,0.57,1.56,0.3,1.0,0.5
Brett Johns,17,2,170.18,61.23,180.34,Orthodox,33,2.86,0.49,3.84,0.53,4.92,0.49,0.58,1.0
Jorge Patino,38,19,172.72,77.11,None,Orthodox,51,1.33,0.3,3.14,0.53,0.54,0.25,0.5,0.0
Hugo Duarte,6,3,182.88,108.86,None,Orthodox,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Levicki,1,3,195.58,124.74,None,,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kerim Edilov,17,4,187.96,92.99,None,Orthodox,33,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0
Manel Kape,21,7,165.1,56.7,172.72,Southpaw,31,5.04,0.55,4.05,0.57,0.42,0.3,0.81,0.3
Baergeng Jieleyisi,18,6,175.26,61.23,177.8,Orthodox,29,1.75,0.38,2.3,0.48,1.65,0.75,0.73,0.3
Jasmine Jasudavicius,13,3,170.18,56.7,172.72,Orthodox,36,3.71,0.45,3.67,0.51,2.55,0.44,0.75,0.5
Bentley Syler,5,1,162.56,56.7,None,Orthodox,42,1.3,0.18,1.73,0.79,0.0,0.0,0.75,0.0
Ricardo Romero,11,3,182.88,92.99,193.04,Orthodox,46,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3
Caros Fodor,11,6,175.26,70.31,187.96,Orthodox,41,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0
Chad Laprise,13,4,177.8,77.11,180.34,Orthodox,38,4.78,0.42,3.59,0.65,1.05,0.54,0.78,0.0
Chris Price,19,4,187.96,83.91,None,Southpaw,42,1.44,0.66,2.59,0.48,0.0,0.0,0.33,2.2
Khadis Ibragimov,8,4,190.5,92.99,198.12,Orthodox,29,3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3
Istela Nunes,6,5,162.56,52.16,167.64,Orthodox,32,5.02,0.45,4.84,0.6,0.0,0.0,0.5,0.0
Jake Hecht,11,4,182.88,77.11,185.42,Orthodox,41,3.26,0.47,2.76,0.56,2.04,0.37,0.4,0.0
Belal Muhammad,24,3,180.34,77.11,182.88,Orthodox,36,4.39,0.43,3.48,0.57,2.28,0.39,0.89,0.2
Blagoy Ivanov,19,6,180.34,113.4,185.42,Southpaw,38,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1
Alex White,13,6,182.88,70.31,180.34,Southpaw,36,3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5
Dustin Ortiz,19,8,165.1,56.7,165.1,Orthodox,36,2.94,0.44,2.17,0.56,3.01,0.36,0.52,0.1
Cung Le,9,3,175.26,83.91,177.8,Southpaw,52,4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3
Alejandro Perez,23,9,167.64,61.23,170.18,Orthodox,35,3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3
Michel Batista,4,1,190.5,117.93,None,Orthodox,40,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0
Malcolm Gordon,14,8,170.18,56.7,180.34,Switch,34,2.5,0.45,2.0,0.43,1.72,0.35,0.26,1.0
Emmanuel Yarborough,1,2,203.2,349.27,None,Open Stance,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Meerschaert,37,18,185.42,83.91,195.58,Southpaw,37,3.1,0.45,3.45,0.53,2.01,0.35,0.42,1.5
Dan Evensen,11,4,190.5,113.4,None,Orthodox,50,0.27,0.1,3.86,0.38,0.0,0.0,0.0,4.0
Pawel Pawlak,12,3,182.88,77.11,185.42,Orthodox,36,1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0
Tom Lawlor,10,6,182.88,92.99,187.96,Southpaw,41,2.5,0.42,2.41,0.6,2.46,0.32,0.57,1.4
Yoshiki Takahashi,30,27,180.34,90.26,None,Southpaw,56,2.26,0.51,6.47,0.44,0.0,0.0,0.66,2.3
Larissa Pacheco,10,2,170.18,61.23,None,Orthodox,30,1.21,0.19,4.14,0.55,0.0,0.0,0.0,0.0
Travis Wiuff,75,21,190.5,92.99,None,Orthodox,47,0.48,0.3,4.03,0.41,4.84,0.57,0.44,1.2
Cal Worsham,13,10,180.34,104.33,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriano Martins,28,9,177.8,70.31,182.88,Southpaw,42,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4
Mark De La Rosa,11,5,167.64,61.23,165.1,Orthodox,30,3.13,0.35,5.0,0.48,0.54,0.13,0.4,0.2
Chad Reiner,33,18,180.34,77.11,None,Orthodox,43,0.53,0.2,1.97,0.46,0.99,0.33,0.25,2.0
Anshul Jubli,7,2,182.88,70.31,175.26,Switch,30,6.42,0.46,5.72,0.5,0.81,0.18,0.63,0.4
Nate Landwehr,18,6,175.26,65.77,182.88,Orthodox,36,5.59,0.46,5.77,0.52,0.85,0.41,0.74,0.8
Julija Stoliarenko,11,9,170.18,56.7,167.64,Orthodox,31,2.49,0.39,4.54,0.46,0.93,0.27,0.54,1.7
Felipe Colares,10,4,172.72,65.77,175.26,Orthodox,30,2.17,0.45,4.65,0.36,1.88,0.24,0.43,0.5
Bruna Brasil,10,5,167.64,56.7,165.1,Orthodox,31,2.77,0.59,4.14,0.48,1.55,0.66,0.54,0.0
Miles Johns,15,3,170.18,65.77,167.64,Orthodox,30,3.16,0.44,2.65,0.67,0.92,0.2,0.81,0.0
John Albert,6,5,172.72,61.23,172.72,Orthodox,38,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
Amanda Cooper,3,5,160.02,52.16,162.56,Switch,33,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
Ignacio Bahamondes,17,5,190.5,70.31,190.5,Orthodox,27,7.09,0.47,4.36,0.57,0.0,0.0,0.85,0.5
Randa Markos,11,12,162.56,52.16,160.02,Orthodox,39,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2
Sean Sharaf,4,1,190.5,114.31,195.58,Orthodox,31,7.31,0.44,9.79,0.44,2.07,0.12,0.0,0.0
Sanae Kikuta,31,9,175.26,90.72,None,Orthodox,53,0.7,0.45,0.9,0.52,1.6,0.63,0.25,1.8
Jorge Masvidal,35,17,180.34,77.11,187.96,Orthodox,40,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3
Krzysztof Soszynski,26,12,185.42,92.99,195.58,Open Stance,47,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0
Fredy Serrano,3,2,160.02,56.7,165.1,Orthodox,45,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0
Nick Sanzo,1,1,175.26,86.18,None,,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Green,23,8,177.8,70.31,185.42,Southpaw,35,3.7,0.46,2.51,0.69,1.62,0.5,0.75,0.0
Marcin Bandel,15,7,177.8,70.31,None,Orthodox,35,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0
Randy Brown,19,6,190.5,77.11,198.12,Orthodox,34,4.35,0.47,3.24,0.54,0.81,0.39,0.73,0.6
James Irvin,17,10,187.96,92.99,190.5,Orthodox,46,2.03,0.48,3.86,0.35,0.0,0.0,0.36,0.5
Douglas Silva de Andrade,29,6,170.18,61.23,172.72,Orthodox,39,3.54,0.38,3.93,0.57,0.55,0.42,0.72,0.2
Karolina Kowalkiewicz,16,9,160.02,52.16,162.56,Orthodox,39,5.54,0.43,5.51,0.57,0.31,0.22,0.74,0.2
Kyle Watson,13,8,182.88,70.31,None,Southpaw,45,3.67,0.35,3.25,0.62,0.0,0.0,1.0,0.0
Kazushi Sakuraba,26,17,182.88,83.91,None,Southpaw,55,1.26,0.41,2.03,0.51,1.26,0.31,0.48,1.7
